jd,fire_id,FD_Agency,REF_ID,date_src,year,Map_Date,area_m2,perimeter_m,centroid_x,centroid_y,shape_complexity,slope_mean,slope_median,slope_circular,aspect_mean,aspect_median,aspect_circular,hillshade_mean,hillshade_median,delta_area,delta_perimeter,delta_cx,delta_cy,centroid_shift_m,date,geom_lat,geom_lon,weather_lat,weather_lon,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
244,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-01,1846056.2057611172,48716.47273942341,-13118922.611367043,6337690.9688499225,16.000182266162202,14.739858252197362,14.830585675319687,14.73856036432269,177.8677632188182,117.89727103094765,19.496231480407484,93.11415525114155,79.5,379868.17044855095,5541.566825651833,77.73318112641573,-271.1907737972215,282.1114730753925,2018-09-01,49.36890428817113,-117.8492864726199,49.376492259187785,-117.86834146135534,3.0,16.541500091552734,5.891499996185303,10.633167266845703,0.0,0.0,0.0,11.298495292663574,54.36000061035156,270.0,20.989999771118164,3.374198198318481
245,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-02,3163171.6294890395,56116.97889750161,-13118435.455362365,6337468.565621678,28.844154885759657,14.612654187775641,14.3521101639123,14.609698428439843,167.15022553150953,102.33908727832619,31.49558915235899,101.7889865802869,112.0,1317115.4237279224,7400.506158078206,487.156004678458,-222.40322824474424,535.5223327070138,2018-09-02,49.367604376027614,-117.84491073591568,49.376492259187785,-117.86834146135534,3.0,17.791500091552734,6.291500091552734,11.179000854492188,0.0,0.0,0.0,10.086426734924316,43.560001373291016,269.5416259765625,20.020000457763672,3.275040626525879
246,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-03,3148141.172729237,59842.39851500664,-13117985.84946272,6337960.061271426,20.239936371790606,14.834833228705131,14.419371861497481,14.830121609731382,170.25636588063827,110.75591097510781,23.374968836278534,96.8858939802336,98.0,-15030.456759802531,3725.419617505024,449.6058996450156,491.4956497484818,666.1181867486325,2018-09-03,49.3704793746941,-117.84087119871408,49.376492259187785,-117.86834146135534,3.0,17.791500091552734,8.841500282287598,11.89566707611084,0.0,0.0,0.0,12.096214294433594,57.59999847412109,296.5649719238281,19.61000061035156,3.2056543827056885
247,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-04,2731348.6260017604,58427.602209750265,-13118005.235737735,6338747.09243828,47.98613221786111,14.86785448032397,14.59696380262755,14.86375237411905,161.76209879072215,102.33908727832619,32.36671590485486,102.50819000819001,115.0,-416792.54672747664,-1414.7963052563719,-19.38627501577139,787.0311668533832,787.269893529268,2018-09-04,49.37508122497038,-117.84104360392531,49.376492259187785,-117.86834146135534,3.0,16.541500091552734,2.3414998054504395,8.691499710083008,0.0,0.0,0.0,9.220499038696287,41.76000213623047,305.782470703125,21.059999465942383,3.2067079544067383
248,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-05,4384779.6924343165,60416.59958710785,-13118098.580500051,6339503.767137445,21.38262536943425,14.394118766797789,14.106852098761285,14.389080063711484,150.13465252235244,89.15081653199826,39.1877609930217,107.24842767295597,122.0,1653431.0664325561,1988.997377357584,-93.34476231597364,756.674699164927,762.4105488568206,2018-09-05,49.3795054446202,-117.8418809561522,49.376492259187785,-117.86834146135534,3.0,19.29150009155273,5.941499710083008,11.922749519348145,0.0,0.0,0.0,6.1516828536987305,26.280000686645508,307.9100952148437,18.81999969482422,3.077692747116089
249,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-06,5271154.264204708,51762.74878154127,-13117037.087742537,6339882.011228,19.04935694284014,14.180854283869522,13.295345767768787,14.172836856983205,164.38807274658745,108.88608736970929,29.953240487961665,100.89204346302138,108.0,886374.5717703914,-8653.85080556658,1061.4927575141191,378.24409055523574,1126.8697645668226,2018-09-06,49.381718966344,-117.83234620866229,49.376492259187785,-117.86834146135534,3.0,23.44150161743164,8.591500282287598,14.872750282287598,0.0,0.0,0.0,5.091168403625488,23.03999900817871,258.2749328613281,19.56999969482422,3.3314743041992188
250,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-07,2000146.9588572183,21706.51575669443,-13117828.18116062,6340715.58405539,61.97158702905406,13.38553025176806,12.224504905351846,13.37188051006919,171.2635746368579,143.5939952413868,38.736646346903335,109.79746835443038,124.5,-3271007.3053474897,-30056.23302484684,-791.0934180822223,833.5728273903951,1149.2051403890564,2018-09-07,49.38658511277437,-117.83944912237236,49.376492259187785,-117.86834146135534,1.0,23.141498565673828,9.991499900817873,15.687335014343262,0.0,0.0,0.0,9.504273414611816,44.63999557495117,168.61087036132812,20.170000076293945,3.761420726776123
251,271,CA,BC-2018-2018-N52548,FPM,2018,2018-09-08,273910.99254842376,4924.43437282511,-13117136.141126746,6338984.050233061,20.89819239345658,11.87997347577781,12.022681518120791,11.877592819053824,184.30642934892708,178.4088597288054,-134.187458097698,114.1044776119403,123.0,-1726235.9663087945,-16782.08138386932,692.0400338731706,-1731.5338223287836,1864.7060857818067,2018-09-08,49.37645725357689,-117.83323151945656,49.376492259187785,-117.86834146135534,61.0,21.69150161743164,6.491499900817871,12.981083869934082,2.799999952316284,2.799999952316284,0.0,11.43531322479248,49.68000030517578,239.03631591796875,17.459999084472656,3.095013380050659
227,594,CA,BC-2018-2018-G61652,FPM,2018,2018-08-15,293354.3665872379,2455.7925924236943,-13921056.618306687,7527474.611756067,20.55847106407264,8.725103196849204,5.986472509459553,8.715419749139748,78.86853039474984,29.291362170984257,16.176689821160146,74.79503105590062,76.0,0.0,0.0,0.0,0.0,0.0,2018-08-15,55.84426058344097,-125.0549793130586,55.843227115192754,-124.96965081451263,3.0,17.768999099731445,3.818999767303467,11.406500816345217,0.0,0.0,0.0,16.311613082885742,58.31999969482422,259.6208801269531,22.649999618530277,3.788684606552124
228,594,CA,BC-2018-2018-G61652,FPM,2018,2018-08-16,4766446.757377021,31290.98898326017,-13919080.667387996,7527521.379675835,24.00376480271993,6.309818687500477,4.488285507914932,6.298226617549157,180.63594789144867,180.0,-5.221154420228747,93.16649848637739,66.0,4473092.390789783,28835.196390836474,1975.9509186912328,46.767919768579304,1976.5043059392021,2018-08-16,55.84449593448459,-125.03722901086164,55.843227115192754,-124.96965081451263,3.0,19.16900062561035,3.068999767303467,11.604416847229004,0.0,0.0,0.0,14.113653182983398,48.59999847412109,278.9148254394531,23.399999618530277,3.896445035934448
