fire_id,year,jd,date,geom_lat,geom_lon,weather_lat,weather_lon,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
125,2019,229,2019-08-17,61.895376713863655,-146.3168278138715,61.90075126230679,-146.31808904623384,61.0,15.390999794006348,3.940999984741211,8.668083190917969,7.5,7.5,0.0,25.623300552368164,54.36000061035156,332.064453125,12.470000267028809,2.0251336097717285
125,2019,230,2019-08-18,61.89574778112471,-146.31965286947664,61.90075126230679,-146.31808904623384,1.0,11.491000175476074,1.9909998178482056,5.736833095550537,0.0,0.0,0.0,32.91982650756836,67.67999267578125,3.458648443222046,18.520000457763672,2.8022592067718506
125,2019,231,2019-08-19,61.89628103792397,-146.3203413122669,61.90075126230679,-146.31808904623384,3.0,7.540999412536621,-0.05900013446807861,3.690999746322632,0.0,0.0,0.0,28.990619659423828,59.39999771118164,330.82012939453125,17.190000534057617,2.3936941623687744
125,2019,232,2019-08-20,61.8965110697029,-146.3199366097141,61.90075126230679,-146.31808904623384,3.0,9.790999412536621,2.7909998893737793,6.082666397094727,0.0,0.0,0.0,9.565437316894531,23.399999618530273,322.016357421875,16.81999969482422,2.212797164916992
125,2019,233,2019-08-21,61.89663642752429,-146.32277919366678,61.90075126230679,-146.31808904623384,3.0,10.690999984741211,2.1409997940063477,6.622249603271484,0.0,0.0,0.0,12.661563873291016,27.719999313354492,287.8360900878906,14.130000114440918,2.1551218032836914
125,2019,234,2019-08-22,61.897567634350644,-146.3220678380937,61.90075126230679,-146.31808904623384,3.0,11.590999603271484,3.5909996032714844,8.00766658782959,0.0,0.0,0.0,10.446206092834473,22.68000030517578,180.6419219970703,15.140000343322754,2.430427074432373
125,2019,235,2019-08-23,61.8979972202493,-146.32354055351738,61.90075126230679,-146.31808904623384,3.0,12.040999412536621,3.8909997940063477,7.988916397094727,0.0,0.0,0.0,13.276144027709961,29.8799991607666,302.2905578613281,15.609999656677246,2.2287375926971436
125,2019,236,2019-08-24,61.8979234453529,-146.32419964481088,61.90075126230679,-146.31808904623384,51.0,11.540999412536621,3.240999698638916,7.401416301727295,0.20000000298023224,0.20000000298023224,0.0,12.904882431030273,27.35999870300293,290.0715637207031,16.09000015258789,2.3513543605804443
125,2019,237,2019-08-25,61.89823707978528,-146.32417084636668,61.90075126230679,-146.31808904623384,3.0,11.690999984741211,3.740999698638916,8.130582809448242,0.0,0.0,0.0,17.462783813476562,38.15999984741211,199.02102661132812,13.8100004196167,2.168661594390869
125,2019,238,2019-08-26,61.899502313269544,-146.32033087638717,61.90075126230679,-146.31808904623384,51.0,11.390999794006348,3.440999984741211,7.261834621429443,0.4000000059604645,0.4000000059604645,0.0,20.26579475402832,42.119998931884766,203.29302978515625,15.470000267028809,2.1904749870300293
