jd,fire_id,FD_Agency,REF_ID,date_src,year,Map_Date,area_m2,perimeter_m,centroid_x,centroid_y,shape_complexity,slope_mean,slope_median,slope_circular,aspect_mean,aspect_median,aspect_circular,hillshade_mean,hillshade_median,delta_area,delta_perimeter,delta_cx,delta_cy,centroid_shift_m,date,geom_lat,geom_lon,weather_lat,weather_lon,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
198,218,AK,51636,FPM,2019,2019-07-17,282402.17718948063,2603.2028084486287,-15757965.163820982,10086581.67690933,23.996503601202605,2.9751211593531517,2.512560836626995,2.9739363809222263,135.8113348819395,128.65980825409008,132.8809828426562,212.4047619047619,228.0,0.0,0.0,0.0,0.0,0.0,2019-07-17,66.75490975536975,-141.5562095473829,66.74476418158503,-141.5376631308105,51.0,23.497499465942383,13.7475004196167,18.5745849609375,0.800000011920929,0.800000011920929,0.0,10.823972702026367,23.759998321533203,213.54124450683597,18.0,3.5676944255828857
199,218,AK,51636,FPM,2019,2019-07-18,8199609.49857571,25915.904668851417,-15755546.40432965,10088316.120562086,20.48389175101043,2.903993674281991,2.2785610583674862,2.8968216656648687,192.23959813309386,191.91937009158585,-121.72301770812433,138.44642857142858,131.0,7917207.321386229,23312.701860402787,2418.7594913318753,1734.4436527565122,2976.3555334494877,2019-07-18,66.76105647897018,-141.53448453635903,66.74476418158503,-141.5376631308105,53.0,22.79750061035156,13.647500038146973,18.553754806518555,1.4000000953674316,1.4000000953674316,0.0,10.538843154907228,34.91999816894531,101.4754638671875,17.950000762939453,3.506272315979004
200,218,AK,51636,FPM,2019,2019-07-19,2400011.042500362,17471.512381501332,-15757507.0134629,10086021.541294733,127.188475174238,2.8644640423078256,2.2785610583674862,2.8569053670412514,166.73935115958014,168.69006752597977,166.15277550056723,169.9825870646766,206.0,-5799598.456075348,-8444.392287350085,-1960.6091332491487,-2294.5792673528194,3018.125608311453,2019-07-19,66.7529232394872,-141.55209464225493,66.74476418158503,-141.5376631308105,3.0,20.89750099182129,13.84749984741211,17.270416259765625,0.0,0.0,0.0,20.240198135375977,49.68000030517578,213.3853302001953,14.479999542236328,3.377252578735352
201,218,AK,51636,FPM,2019,2019-07-20,1049683.8012964884,10255.773706795742,-15758190.862624101,10084971.92805953,100.20245543952528,3.997387598933712,3.018862778629861,3.9817484563272236,152.93897176969708,165.1062914343102,141.49527296515384,164.423828125,196.0,-1350327.2412038734,-7215.73867470559,-683.849161202088,-1049.6132352035493,1252.7320618517197,2019-07-20,66.74920191032822,-141.558236915702,66.74476418158503,-141.5376631308105,3.0,19.09749984741211,11.697500228881836,15.38708209991455,0.0,0.0,0.0,24.696104049682617,59.39999771118164,234.481201171875,13.739999771118164,3.538090229034424
202,218,AK,51636,FPM,2019,2019-07-21,778269.7993748854,10348.105190264107,-15757339.925509423,10084704.677295042,137.59146393035098,2.5516478048819424,2.6482831307380343,2.5516024822099244,135.52969589907661,101.30993247402023,110.12664423376258,174.5924713584288,205.0,-271414.001921603,92.33148346836424,850.9371146783233,-267.25076448731124,891.9175658412172,2019-07-21,66.74825410333177,-141.5505931839468,66.74476418158503,-141.5376631308105,51.0,18.29750061035156,12.547500610351562,15.10374927520752,0.1000000014901161,0.1000000014901161,0.0,24.967498779296875,61.19999694824219,243.2733459472656,8.619999885559082,2.9612913131713867
203,218,AK,51636,FPM,2019,2019-07-22,6918780.655408425,30915.95619687097,-15755797.378418237,10083691.167084424,138.1452014698134,2.9560537018902466,3.0876112415568913,2.9559886672493834,126.64562496865489,101.30993247402023,102.59965632646687,172.01904036557502,184.0,6140510.856033539,20567.851006606863,1542.5470911860466,-1013.5102106183767,1845.7124574413642,2019-07-22,66.7446593931835,-141.53673613501803,66.74476418158503,-141.5376631308105,3.0,21.79750061035156,12.397500038146973,16.68291664123535,0.0,0.0,0.0,20.991426467895508,48.23999786376953,238.19967651367188,16.469999313354492,3.6418628692626953
204,218,AK,51636,FPM,2019,2019-07-23,13463566.33828866,40178.60444736124,-15755762.473910548,10082175.180955239,23.063158590071275,3.0095114999829624,3.198885506199227,3.009479812253247,142.00433889595783,137.59721445386742,136.2732720195252,177.97510822510822,194.0,6544785.682880234,9262.64825049027,34.90450768917799,-1515.9861291851848,1516.3879017385043,2019-07-23,66.73928133025733,-141.5364222955062,66.74476418158503,-141.5376631308105,3.0,25.34749984741211,15.747499465942385,20.274581909179688,0.0,0.0,0.0,12.849528312683104,29.51999855041504,75.09516143798828,21.239999771118164,4.604046821594238
205,218,AK,51636,FPM,2019,2019-07-24,5707477.573682301,16065.301694458532,-15755457.621082144,10079432.714973804,25.851815154933636,1.9845999996545358,1.9103570308289557,1.9845749695321546,166.66963476082043,180.0,167.8639798410925,213.0952380952381,217.0,-7756088.7646063585,-24113.30275290271,304.85282840393484,-2742.4659814350307,2759.3576981454007,2019-07-24,66.72955086752755,-141.53368358064117,66.74476418158503,-141.5376631308105,3.0,25.59749984741211,16.59749984741211,21.709999084472656,0.0,0.0,0.0,17.643672943115234,38.15999984741211,95.62450408935548,19.01000022888184,4.769176959991455
206,218,AK,51636,FPM,2019,2019-07-25,95887.07289220078,1733.838832398532,-15756345.218557863,10078225.639869394,31.351432534735565,0.334796714643057,0.3747853861486334,0.3347963116087204,176.84959321143032,180.0,176.59122220065564,226.1216216216216,235.0,-5611590.5007901,-14331.46286206,-887.5974757187068,-1207.0751044098288,1498.2855490820898,2019-07-25,66.72526695956583,-141.54165731818375,66.74476418158503,-141.5376631308105,63.0,23.09749984741211,16.047500610351562,18.626665115356445,8.100000381469727,8.100000381469727,0.0,13.679999351501465,28.440000534057617,98.60515594482422,14.149999618530272,2.8358266353607178
182,695,CA,MB-2019-MB2019EA054,FPM,2019,2019-07-01,46621.61163264954,1530.0355819811407,-10686659.408352321,6782519.24250821,21.333516327025926,0.2924870284103039,0.0,0.2924703325541863,149.2014279850484,180.0,162.56800249817445,201.5621301775148,211.0,0.0,0.0,0.0,0.0,0.0,2019-07-01,51.90252120926902,-95.9998945327522,51.880859552227136,-95.95114955197134,2.0,25.911001205444336,14.961000442504885,21.138084411621094,0.0,0.0,0.0,17.46278190612793,42.47999954223633,259.6541442871094,27.76000022888184,6.175371646881104
